segment;pas;paire;succes;attendu
S008;1115;alpha->epsilon;1;0.8072066522944257
S008;1143;alpha->epsilon;1;0.8264908600539407
S008;1164;alpha->epsilon;1;0.7789125863622709
S008;1182;alpha->epsilon;0;0.8878390734532154
S008;1187;alpha->epsilon;0;0.8072066522944257
S008;1219;alpha->epsilon;0;0.7378345498783455
S008;1222;alpha->epsilon;0;0.7378345498783455
S008;1238;alpha->epsilon;0;0.848316342292246
S008;1245;alpha->epsilon;0;0.8072066522944257
S008;1249;alpha->epsilon;0;0.8878390734532154
S008;1333;alpha->epsilon;1;0.8072066522944257
S008;1395;alpha->epsilon;1;0.8264908600539407
S009;1;alpha->epsilon;1;0.8072066522944257
S009;7;alpha->epsilon;1;0.8072066522944257
S009;12;alpha->epsilon;1;0.8072066522944257
S009;51;alpha->epsilon;1;0.7254842615012107
S009;111;alpha->epsilon;0;0.8264908600539407
S009;138;alpha->epsilon;1;0.7789125863622709
S009;160;alpha->epsilon;1;0.8878390734532154
S009;170;alpha->epsilon;1;0.848316342292246
S009;177;alpha->epsilon;1;0.848316342292246
S009;198;alpha->epsilon;1;0.883030303030303
S009;209;alpha->epsilon;1;0.8264908600539407
S009;214;alpha->epsilon;1;0.8264908600539407
S009;224;alpha->epsilon;1;0.883030303030303
S009;251;alpha->epsilon;1;0.7378345498783455
S009;271;alpha->epsilon;1;0.848316342292246
S009;284;alpha->epsilon;1;0.8264908600539407
S009;306;alpha->epsilon;1;0.8878390734532154
S009;316;alpha->epsilon;1;0.8878390734532154
S009;354;alpha->epsilon;0;0.7789125863622709
S009;363;alpha->epsilon;1;0.7254842615012107
S009;367;alpha->epsilon;1;0.7789125863622709
S009;392;alpha->epsilon;1;0.883030303030303
S009;399;alpha->epsilon;1;0.7789125863622709
S009;401;alpha->epsilon;1;0.8264908600539407
S009;454;alpha->epsilon;1;0.8072066522944257
S009;456;alpha->epsilon;1;0.848316342292246
S009;525;alpha->epsilon;1;0.8072066522944257
S009;550;alpha->epsilon;1;0.7789125863622709
S009;556;alpha->epsilon;1;0.8264908600539407
S009;560;alpha->epsilon;1;0.883030303030303
S009;595;alpha->epsilon;1;0.8264908600539407
S009;625;alpha->epsilon;1;0.8264908600539407
S009;633;alpha->epsilon;1;0.883030303030303
S009;660;alpha->epsilon;1;0.883030303030303
S009;664;alpha->epsilon;1;0.8264908600539407
S009;722;alpha->epsilon;1;0.848316342292246
S009;735;alpha->epsilon;1;0.8878390734532154
S009;798;alpha->epsilon;1;0.7378345498783455
S009;803;alpha->epsilon;1;0.7378345498783455
S009;843;alpha->epsilon;1;0.8264908600539407
S009;877;alpha->epsilon;1;0.848316342292246
S009;906;alpha->epsilon;1;0.883030303030303
S009;918;alpha->epsilon;1;0.7254842615012107
S009;967;alpha->epsilon;1;0.8072066522944257
S009;974;alpha->epsilon;1;0.7378345498783455
S009;990;alpha->epsilon;1;0.8878390734532154
S009;1024;alpha->epsilon;1;0.7254842615012107
S009;1033;alpha->epsilon;1;0.7789125863622709
S009;1039;alpha->epsilon;1;0.8264908600539407
S009;1065;alpha->epsilon;1;0.8878390734532154
S009;1112;alpha->epsilon;1;0.8072066522944257
S009;1139;alpha->epsilon;1;0.883030303030303
S009;1143;alpha->epsilon;1;0.7789125863622709
S009;1146;alpha->epsilon;1;0.883030303030303
S009;1168;alpha->epsilon;1;0.8878390734532154
S009;1210;alpha->epsilon;1;0.7254842615012107
S009;1217;alpha->epsilon;1;0.7789125863622709
S009;1220;alpha->epsilon;1;0.8264908600539407
S009;1256;alpha->epsilon;1;0.7254842615012107
S009;1331;alpha->epsilon;1;0.7789125863622709
S009;1349;alpha->epsilon;1;0.8264908600539407
S009;1397;alpha->epsilon;1;0.7789125863622709
S010;13;alpha->epsilon;1;0.7789125863622709
S010;73;alpha->epsilon;1;0.848316342292246
S010;85;alpha->epsilon;1;0.8072066522944257
S010;91;alpha->epsilon;1;0.8878390734532154
S010;185;alpha->epsilon;1;0.7254842615012107
S010;208;alpha->epsilon;0;0.8878390734532154
S010;210;alpha->epsilon;0;0.848316342292246
S010;212;alpha->epsilon;0;0.8072066522944257
S010;215;alpha->epsilon;0;0.8072066522944257
S010;245;alpha->epsilon;0;0.7378345498783455
S010;249;alpha->epsilon;1;0.7378345498783455
S010;272;alpha->epsilon;1;0.8072066522944257
S010;338;alpha->epsilon;1;0.8878390734532154
S010;367;alpha->epsilon;1;0.7789125863622709
S010;375;alpha->epsilon;1;0.8264908600539407
S010;380;alpha->epsilon;1;0.883030303030303
S010;411;alpha->epsilon;0;0.6817095038852361
S010;414;alpha->epsilon;0;0.7378345498783455
S010;431;alpha->epsilon;0;0.8072066522944257
S010;434;alpha->epsilon;0;0.8072066522944257
S010;440;alpha->epsilon;1;0.7378345498783455
S010;462;alpha->epsilon;1;0.8878390734532154
S010;488;alpha->epsilon;1;0.883030303030303
S010;491;alpha->epsilon;1;0.8264908600539407
S010;523;alpha->epsilon;1;0.7378345498783455
S010;528;alpha->epsilon;1;0.8072066522944257
S010;584;alpha->epsilon;1;0.7378345498783455
S010;595;alpha->epsilon;1;0.8072066522944257
S010;617;alpha->epsilon;1;0.8878390734532154
S010;629;alpha->epsilon;1;0.883030303030303
S010;644;alpha->epsilon;1;0.883030303030303
S010;681;alpha->epsilon;1;0.8878390734532154
S010;725;alpha->epsilon;1;0.7789125863622709
S010;769;alpha->epsilon;1;0.8264908600539407
S010;793;alpha->epsilon;1;0.8072066522944257
