segment;pas;succes;attendu
S042;511;1;0.7983870967741935
S042;519;1;0.7983870967741935
S042;520;1;0.6685057471264367
S042;649;0;0.7940379403794038
S042;650;0;0.7940379403794038
S042;1077;1;0.799367088607595
S042;1078;1;0.799367088607595
S042;1079;1;0.799367088607595
S042;1080;1;0.799367088607595
S042;1081;1;0.799367088607595
S042;1082;1;0.799367088607595
S042;1116;1;0.7751256281407035
S042;1117;1;0.7751256281407035
S042;1118;1;0.7751256281407035
S042;1245;1;0.7600479904019196
S042;1246;0;0.6052631578947368
S042;1247;0;0.6052631578947368
S042;1363;0;0.5
S043;104;1;0.6815789473684211
S043;198;1;0.7107142857142857
S043;318;1;0.7107142857142857
S043;555;1;0.7983870967741935
S043;667;1;0.49085365853658536
S043;725;1;0.7600479904019196
S043;779;1;0.7940379403794038
S043;831;1;0.7751256281407035
S043;911;1;0.5166240409207161
S043;912;1;0.7296996662958843
S043;913;1;0.7296996662958843
S043;991;1;0.39085545722713866
S043;992;1;0.5655172413793104
S043;993;1;0.7107142857142857
S043;994;1;0.7107142857142857
S043;1089;1;0.5166240409207161
S043;1090;1;0.5973377703826955
S043;1091;1;0.5973377703826955
S043;1092;1;0.6260229132569558
S044;102;1;0.3835616438356164
S044;103;1;0.5025075225677031
S044;104;1;0.6052631578947368
S044;105;1;0.7600479904019196
S044;106;1;0.7961011591148578
S044;107;1;0.7961011591148578
S044;224;1;0.7107142857142857
S044;315;1;0.7751256281407035
S044;621;1;0.5973377703826955
S044;622;1;0.6260229132569558
S044;908;1;0.7600479904019196
S044;909;1;0.7600479904019196
S044;910;1;0.7600479904019196
S044;969;1;0.7961011591148578
S044;970;1;0.7961011591148578
S044;1030;0;0.7940379403794038
S044;1031;0;0.7940379403794038
S044;1032;0;0.7940379403794038
S044;1150;1;0.7107142857142857
S044;1151;1;0.7600479904019196
S044;1223;0;0.24356077722548578
S044;1384;0;0.7961011591148578
S045;205;1;0.6569037656903766
S045;206;1;0.6569037656903766
S045;681;1;0.7751256281407035
S045;723;1;0.7940379403794038
S045;724;0;0.7940379403794038
S045;725;0;0.7940379403794038
S045;744;1;0.7751256281407035
S045;745;1;0.7751256281407035
S045;758;0;0.16429840142095914
S045;807;1;0.7983870967741935
S045;999;1;0.23130841121495327
S045;1118;0;0.6815789473684211
S045;1119;0;0.7296996662958843
S046;40;1;0.16429840142095914
S046;111;1;0.6631376323387873
S046;271;0;0.7961011591148578
S046;298;1;0.5038759689922481
S046;299;1;0.5862619808306709
S046;485;1;0.7961011591148578
S046;486;0;0.7961011591148578
S046;525;1;0.7600479904019196
S046;526;1;0.7600479904019196
S046;850;1;0.16429840142095914
S046;851;1;0.16429840142095914
S046;1123;0;0.35605234460196294
S047;479;1;0.7961011591148578
S047;480;1;0.7961011591148578
S047;528;0;0.21744186046511627
S047;529;1;0.26453488372093026
S047;530;1;0.272
S047;561;1;0.7600479904019196
S047;562;1;0.7600479904019196
S047;625;0;0.7107142857142857
S047;842;0;0.5166240409207161
S047;843;0;0.5973377703826955
S047;869;1;0.5025075225677031
S047;870;1;0.6052631578947368
S047;871;1;0.7600479904019196
S047;1077;1;0.5475517890772128
S047;1078;1;0.5475517890772128
S047;1079;1;0.5475517890772128
S047;1080;1;0.6631376323387873
S048;99;1;0.7983870967741935
S048;204;1;0.6556776556776557
S048;205;1;0.6815789473684211
S048;314;1;0.7600479904019196
S048;315;1;0.7961011591148578
S048;415;1;0.7751256281407035
S048;463;0;0.37373737373737376
S048;535;1;0.5862619808306709
S048;536;1;0.7600479904019196
S048;537;1;0.7600479904019196
S048;757;1;0.7940379403794038
S048;758;1;0.7940379403794038
S048;1084;0;0.7296996662958843
S049;43;1;0.799367088607595
S049;124;1;0.5973377703826955
S049;125;1;0.5973377703826955
S049;630;0;0.7751256281407035
S049;706;1;0.7961011591148578
S049;733;0;0.24356077722548578
S049;975;1;0.7600479904019196
S049;1234;1;0.799367088607595
S049;1235;1;0.799367088607595
S049;1236;1;0.799367088607595
S050;145;1;0.5973377703826955
S050;146;1;0.7296996662958843
S050;163;1;0.7940379403794038
S050;164;1;0.7940379403794038
S050;419;0;0.5655172413793104
S050;493;1;0.6815789473684211
S050;613;0;0.7107142857142857
S050;614;0;0.7600479904019196
S050;758;1;0.799367088607595
S050;759;0;0.799367088607595
S050;1007;1;0.7983870967741935
