segment;pas;appel;succes;attendu
S014;478;F06->alpha;1;0.8821292775665399
S014;587;F06->alpha;1;0.8087748344370861
S014;592;F06->alpha;1;0.9133202742409402
S014;665;F06->alpha;1;0.7658536585365854
S014;667;F06->alpha;1;0.7658536585365854
S014;698;F06->alpha;1;0.91792656587473
S014;708;F06->alpha;1;0.7530186608122942
S014;710;F06->alpha;1;0.8292228943694742
S014;712;F06->alpha;1;0.8292228943694742
S014;785;F06->alpha;1;0.9133202742409402
S014;821;F06->alpha;1;0.8577319587628865
S014;894;F06->alpha;1;0.8087748344370861
S014;943;F06->alpha;1;0.9133202742409402
S014;945;F06->alpha;1;0.8973384030418251
S014;994;F06->alpha;1;0.7778489116517285
S014;1059;F06->alpha;1;0.8287104622871047
S014;1099;F06->alpha;1;0.910212474297464
S014;1248;F06->alpha;1;0.8155067725361981
S014;1347;F06->alpha;1;0.8185840707964602
S014;1352;F06->alpha;1;0.9328537170263789
S014;1407;F06->alpha;1;0.7740076824583867
S015;40;F06->alpha;1;0.8958333333333334
S015;67;F06->alpha;0;0.7933884297520661
S015;91;F06->alpha;1;0.8729591836734694
S015;93;F06->alpha;1;0.8729591836734694
S015;106;F06->alpha;1;0.7658536585365854
S015;130;F06->alpha;1;0.9254345837145471
S015;168;F06->alpha;1;0.8955916473317865
S015;170;F06->alpha;1;0.8599695585996956
S015;249;F06->alpha;1;0.8502994011976048
S015;286;F06->alpha;1;0.9309173272933182
S015;320;F06->alpha;1;0.8718703976435935
S015;341;F06->alpha;0;0.9206081081081081
S015;343;F06->alpha;0;0.8600405679513184
S015;413;F06->alpha;1;0.8729591836734694
S015;438;F06->alpha;1;0.8821292775665399
S015;453;F06->alpha;1;0.8705501618122977
S015;477;F06->alpha;1;0.8873517786561265
S015;520;F06->alpha;1;0.8873517786561265
