segment;pas;capteur;succes;attendu
S003;1243;alpha;0;0.22510334460729048
S003;1325;alpha;0;0.22510334460729048
S003;1352;alpha;1;0.454396504642272
S003;1353;alpha;1;0.37459434399629116
S003;1354;alpha;0;0.02786282914880588
S003;1370;alpha;0;0.28258221680876977
S003;1380;alpha;0;0.37459434399629116
S003;1385;alpha;0;0.454396504642272
S003;1415;alpha;0;0.454396504642272
S003;1438;alpha;0;0.454396504642272
S004;59;alpha;1;0.28258221680876977
S004;60;alpha;0;0.005474452554744526
S004;77;alpha;0;0.22510334460729048
S004;81;alpha;1;0.37459434399629116
S004;82;alpha;0;0.28258221680876977
S004;91;alpha;1;0.37459434399629116
S004;92;alpha;0;0.06172049888071634
S004;97;alpha;0;0.22510334460729048
S004;110;alpha;0;0.08973935994721215
S004;124;alpha;0;0.06172049888071634
S004;126;alpha;1;0.28258221680876977
S004;127;alpha;0;0.22510334460729048
S004;147;alpha;0;0.22510334460729048
S004;186;alpha;1;0.28258221680876977
S004;187;alpha;0;0.454396504642272
S004;195;alpha;1;0.08973935994721215
S004;196;alpha;1;0.22510334460729048
S004;197;alpha;0;0.08973935994721215
S004;229;alpha;0;0.454396504642272
S004;232;alpha;1;0.28258221680876977
S004;233;alpha;0;0.28258221680876977
S004;236;alpha;0;0.11368277739959155
S004;238;alpha;1;0.454396504642272
S004;239;alpha;0;0.37459434399629116
S004;247;alpha;0;0.16335227272727273
S004;255;alpha;1;0.454396504642272
S004;256;alpha;0;0.06172049888071634
S004;273;alpha;0;0.16335227272727273
S004;277;alpha;0;0.03917267314321529
S004;289;alpha;0;0.16335227272727273
S004;300;alpha;1;0.37459434399629116
S004;301;alpha;0;0.22510334460729048
S004;338;alpha;0;0.28258221680876977
S004;381;alpha;0;0.454396504642272
S004;386;alpha;0;0.28258221680876977
S004;389;alpha;0;0.02786282914880588
S004;397;alpha;0;0.11368277739959155
S004;405;alpha;0;0.22510334460729048
S004;425;alpha;0;0.012198841110094541
S004;427;alpha;1;0.37459434399629116
S004;428;alpha;1;0.28258221680876977
S004;429;alpha;0;0.28258221680876977
S004;444;alpha;0;0.16335227272727273
S004;446;alpha;0;0.454396504642272
S004;450;alpha;0;0.08973935994721215
S004;512;alpha;0;0.28258221680876977
S004;514;alpha;0;0.03007751937984496
S004;518;alpha;1;0.28258221680876977
S004;519;alpha;0;0.06172049888071634
S004;557;alpha;0;0.11368277739959155
S004;568;alpha;0;0.16335227272727273
S004;578;alpha;1;0.28258221680876977
S004;579;alpha;1;0.28258221680876977
S004;580;alpha;1;0.37459434399629116
S004;581;alpha;0;0.28258221680876977
S004;584;alpha;0;0.37459434399629116
S004;600;alpha;0;0.22510334460729048
S004;614;alpha;0;0.454396504642272
S004;622;alpha;0;0.16335227272727273
S004;628;alpha;0;0.28258221680876977
S004;633;alpha;0;0.06172049888071634
S004;686;alpha;1;0.37459434399629116
S004;687;alpha;1;0.28258221680876977
S004;688;alpha;0;0.11368277739959155
S004;697;alpha;0;0.02786282914880588
S004;720;alpha;1;0.37459434399629116
S004;721;alpha;0;0.454396504642272
S004;723;alpha;0;0.28258221680876977
S004;725;alpha;0;0.16335227272727273
S004;727;alpha;1;0.37459434399629116
S004;728;alpha;1;0.454396504642272
S004;729;alpha;0;0.01712014674411495
S004;753;alpha;0;0.08973935994721215
S004;779;alpha;0;0.37459434399629116
S004;823;alpha;0;0.454396504642272
S004;859;alpha;0;0.22510334460729048
S004;869;alpha;0;0.22510334460729048
S004;873;alpha;0;0.37459434399629116
S004;880;alpha;0;0.22510334460729048
S004;894;alpha;0;0.22510334460729048
S004;914;alpha;0;0.08973935994721215
S004;960;alpha;0;0.05497957901350927
S004;962;alpha;0;0.16335227272727273
S004;967;alpha;0;0.11368277739959155
S004;974;alpha;0;0.22510334460729048
S004;990;alpha;0;0.11368277739959155
S004;992;alpha;0;0.06172049888071634
S004;1000;alpha;1;0.28258221680876977
S004;1001;alpha;0;0.11368277739959155
S004;1003;alpha;1;0.454396504642272
S004;1004;alpha;0;0.16335227272727273
S004;1020;alpha;0;0.22510334460729048
S004;1048;alpha;0;0.454396504642272
S004;1061;alpha;1;0.454396504642272
S004;1062;alpha;1;0.454396504642272
S004;1063;alpha;0;0.28258221680876977
S004;1081;alpha;1;0.37459434399629116
S004;1082;alpha;1;0.454396504642272
S004;1083;alpha;0;0.22510334460729048
S004;1085;alpha;1;0.28258221680876977
S004;1086;alpha;1;0.37459434399629116
S004;1087;alpha;0;0.37459434399629116
S004;1093;alpha;0;0.16335227272727273
S004;1105;alpha;1;0.454396504642272
S004;1106;alpha;1;0.05497957901350927
S004;1107;alpha;1;0.37459434399629116
S004;1108;alpha;0;0.012198841110094541
S004;1176;alpha;0;0.03007751937984496
S004;1215;alpha;0;0.012198841110094541
S004;1218;alpha;0;0.454396504642272
S004;1220;alpha;0;0.28258221680876977
S004;1226;alpha;0;0.11368277739959155
S004;1232;alpha;0;0.28258221680876977
S004;1237;alpha;1;0.012198841110094541
S004;1238;alpha;0;0.014058679706601468
S004;1335;alpha;1;0.16335227272727273
S004;1336;alpha;0;0.28258221680876977
S004;1362;alpha;1;0.37459434399629116
S004;1363;alpha;1;0.16335227272727273
S004;1364;alpha;0;0.22510334460729048
S004;1382;alpha;0;0.005474452554744526
S004;1410;alpha;1;0.37459434399629116
S004;1411;alpha;1;0.37459434399629116
S004;1412;alpha;0;0.37459434399629116
S004;1414;alpha;0;0.08973935994721215
S004;1418;alpha;0;0.03917267314321529
S004;1420;alpha;0;0.11368277739959155
S005;3;alpha;0;0.37459434399629116
S005;24;alpha;1;0.454396504642272
S005;25;alpha;0;0.16335227272727273
S005;30;alpha;0;0.16335227272727273
S005;65;alpha;0;0.005145278450363196
S005;85;alpha;0;0.22510334460729048
S005;96;alpha;0;0.37459434399629116
S005;106;alpha;1;0.454396504642272
S005;107;alpha;0;0.06172049888071634
S005;123;alpha;0;0.454396504642272
S005;125;alpha;0;0.05497957901350927
S005;154;alpha;0;0.22510334460729048
S005;165;alpha;0;0.22510334460729048
S005;261;alpha;0;0.454396504642272
S005;267;alpha;1;0.28258221680876977
S005;268;alpha;0;0.06172049888071634
S005;270;alpha;0;0.22510334460729048
S005;311;alpha;1;0.28258221680876977
S005;312;alpha;1;0.454396504642272
S005;313;alpha;0;0.22510334460729048
S005;337;alpha;1;0.37459434399629116
S005;338;alpha;0;0.28258221680876977
S005;342;alpha;1;0.454396504642272
S005;343;alpha;0;0.22510334460729048
S005;362;alpha;1;0.16335227272727273
S005;363;alpha;0;0.37459434399629116
S005;391;alpha;0;0.03917267314321529
S005;407;alpha;0;0.454396504642272
S005;445;alpha;0;0.08973935994721215
S005;457;alpha;0;0.03007751937984496
S005;464;alpha;0;0.28258221680876977
S005;471;alpha;0;0.06172049888071634
S005;517;alpha;0;0.454396504642272
S005;539;alpha;0;0.454396504642272
S005;541;alpha;0;0.11368277739959155
