source;famille;capteur;issue;designe;n;obs;ref;z;segments
repli;F27;delta;retour27;False;101;0.10891089108910891;0.1016888046984907;0.3624774018298741;41
repli;F27;epsilon;retour27;False;101;0.39603960396039606;0.35220960465879353;0.928254129846058;41
repli;F27;;cont10;False;101;0.8316831683168316;0.8143270467121032;0.4960041559325723;41
repli;F28;alpha;retour27;False;88;0.7954545454545454;0.7750130706332747;0.46087888039629643;38
repli;F28;beta;retour27;False;88;0.1590909090909091;0.1483049614997268;0.373911526779754;38
repli;F28;gamma;retour27;False;88;0.20454545454545456;0.19097668008570173;0.3955710129064651;38
repli;F28;delta;retour27;False;88;0.18181818181818182;0.12923969758507006;1.8966276140475133;38
repli;F28;epsilon;retour27;False;88;0.38636363636363635;0.40177412082247294;-0.3026254137866539;38
repli;F28;;cont10;False;88;0.8068181818181818;0.7994495545265426;0.16911046903530166;38
repli;F29;alpha;retour27;False;39;0.6923076923076923;0.7872895186181312;-1.344564673562342;28
repli;F29;beta;retour27;False;39;0.1794871794871795;0.17084445783769978;0.1951791009162713;28
repli;F29;gamma;retour27;False;39;0.20512820512820512;0.19166524161597806;0.2399168735256346;28
repli;F29;delta;retour27;False;39;0.23076923076923078;0.20062418885414865;0.7541247727238466;28
repli;F29;epsilon;retour27;False;39;0.46153846153846156;0.41742342624599643;0.5993770366513461;28
repli;F29;;cont10;False;39;0.8205128205128205;0.805966772579428;0.263333240489277;28
repli;F30;alpha;retour27;False;100;0.76;0.777113084296571;-0.39837136903755316;39
repli;F30;beta;retour27;False;100;0.12;0.1043844717478756;0.538078095099788;39
repli;F30;gamma;retour27;False;100;0.16;0.1511521847487161;0.2548032864719907;39
repli;F30;delta;retour27;False;100;0.06;0.0888690746286139;-1.565860736016489;39
repli;F30;epsilon;retour27;False;100;0.33;0.3717924447260275;-0.9191286849958616;39
repli;F30;;cont10;False;100;0.79;0.7763535662918195;0.3395443434355777;39
repli;F31;alpha;retour27;False;98;0.7857142857142857;0.7736453742529691;0.2909002018211044;42
repli;F31;beta;retour27;False;98;0.14285714285714285;0.1353285412072723;0.22855856882855974;42
repli;F31;gamma;retour27;False;98;0.22448979591836735;0.16078237013226224;1.6972330385506378;42
repli;F31;delta;retour27;False;98;0.12244897959183673;0.12412995572854396;-0.08531296549869405;42
repli;F31;epsilon;retour27;False;98;0.41836734693877553;0.38777719617271195;0.6355348322423751;42
repli;F31;;cont10;False;98;0.7653061224489796;0.7995288256065318;-0.8240280080719418;42
repli;F32;alpha;retour27;False;33;0.7878787878787878;0.771809079440658;0.2226574603799245;22
repli;F32;beta;retour27;False;33;0.09090909090909091;0.2097254979121418;-2.134796748744531;22
repli;F32;gamma;retour27;False;33;0.18181818181818182;0.23828838907382485;-1.0014387731498346;22
repli;F32;delta;retour27;False;33;0.09090909090909091;0.16651125205586198;-1.5425716076486906;22
repli;F32;epsilon;retour27;False;33;0.3333333333333333;0.41679563761632;-1.1075243698511932;22
repli;F32;;cont10;False;33;0.9393939393939394;0.7885544567260159;3.098415185548888;22
repli;F33;alpha;retour27;False;100;0.85;0.7813778138368881;1.874336126926053;42
repli;F33;beta;retour27;False;100;0.18;0.14817399177889323;1.030979746972871;42
repli;F33;gamma;retour27;False;100;0.24;0.191748532474902;1.3261372395544728;42
