source;famille;capteur;designe;n;segments;obs;ref;z
longueur;F16;beta;False;437;50;0.5148741418764302;0.5016757413097895;0.6522348181379496
longueur;F16;delta;False;437;50;0.30892448512585813;0.2690848422624656;2.365392247772786
longueur;F17;alpha;False;694;50;0.8717579250720461;0.8821602825369896;-0.8288378893526132
longueur;F17;epsilon;False;694;50;0.7780979827089337;0.7610962112638483;1.1151110434929323
longueur;F17;gamma;False;694;50;0.6527377521613833;0.6130384231705969;2.392741423081669
longueur;F17;beta;False;694;50;0.5187319884726225;0.5004595616868361;1.0746321056506174
longueur;F17;delta;False;694;50;0.31556195965417866;0.2887807250811508;1.9071575589712062
longueur;F18;alpha;False;1466;50;0.8819918144611187;0.8801671243489253;0.21844105150387444
longueur;F18;epsilon;False;1466;50;0.7639836289222374;0.7649456825028448;-0.0893164137289574
longueur;F18;gamma;False;1466;50;0.6412005457025921;0.6292967438452455;1.031952309852972
longueur;F18;beta;False;1466;50;0.5600272851296043;0.5066043526466755;4.65038300939588
longueur;F18;delta;False;1466;50;0.32332878581173263;0.3057731256791505;1.78494261320698
longueur;F19;alpha;False;116;43;0.8103448275862069;0.8160249817392743;-0.1563546045514026
longueur;F19;epsilon;False;116;43;0.6724137931034483;0.7442672049236649;-1.7073783409694612
longueur;F19;gamma;False;116;43;0.6206896551724138;0.6385778635811616;-0.4330878879497515
longueur;F19;beta;False;116;43;0.5603448275862069;0.5586018963041266;0.044817937929907986
longueur;F19;delta;False;116;43;0.35344827586206895;0.33303584259163105;0.5814923530212311
longueur;F20;alpha;False;150;48;0.8333333333333334;0.8743517405496114;-1.3483971094599978
longueur;F20;epsilon;False;150;48;0.8133333333333334;0.8183664911777631;-0.1626638869725075
longueur;F20;gamma;False;150;48;0.6;0.650809974202118;-1.3472586222118597
longueur;F20;beta;True;150;48;0.5466666666666666;0.5157395548058892;0.8955042050715111
longueur;F20;delta;False;150;48;0.31333333333333335;0.2944944272416518;0.6208579316270275
longueur;F21;alpha;False;275;50;0.8581818181818182;0.8680840547696519;-0.465894733592848
longueur;F21;epsilon;False;275;50;0.7490909090909091;0.7707178049005236;-0.8507002183295105
longueur;F21;gamma;False;275;50;0.6581818181818182;0.6423530814004752;0.6055084308408967
longueur;F21;beta;False;275;50;0.5563636363636364;0.5138173512255995;1.681020077537424
longueur;F21;delta;False;275;50;0.31272727272727274;0.2934947125229242;0.851803454641118
longueur;F22;alpha;False;126;49;0.8650793650793651;0.8192709642674675;1.4841429875593268
longueur;F22;epsilon;False;126;49;0.7222222222222222;0.725788343983726;-0.08931245246847937
longueur;F22;gamma;False;126;49;0.5793650793650794;0.6227046386812382;-1.1007173144713358
longueur;F22;beta;False;126;49;0.5555555555555556;0.5547129496037156;0.0231673365652274
longueur;F22;delta;False;126;49;0.2777777777777778;0.318855461559981;-1.2132607487277984
longueur;F23;alpha;False;181;49;0.8011049723756906;0.838089691908651;-1.2640220394252406
longueur;F23;epsilon;False;181;49;0.6906077348066298;0.7699539684156987;-2.4071525840407517
longueur;F23;gamma;False;181;49;0.6961325966850829;0.6483084343308154;1.535551429742208
longueur;F23;beta;False;181;49;0.569060773480663;0.4940952923648637;2.3746100151773413
longueur;F23;delta;False;181;49;0.22099447513812154;0.23015669283557924;-0.36077638464280937
longueur;F24;alpha;False;188;50;0.824468085106383;0.844264425605078;-0.7142399314339637
longueur;F24;epsilon;False;188;50;0.7446808510638298;0.755006980836686;-0.34900531569203064
longueur;F24;gamma;False;188;50;0.5851063829787234;0.6130230183252241;-0.8634187302614517
longueur;F24;beta;False;188;50;0.48936170212765956;0.5112604613151882;-0.7136102616814958
longueur;F24;delta;False;188;50;0.32978723404255317;0.29338769133475984;1.346133148933945
longueur;F25;alpha;False;40;25;0.825;0.8148255431627988;0.1695121873513081
longueur;F25;epsilon;False;40;25;0.675;0.7183988595583584;-0.5428553640497592
