bloc;id;description;n;segments;valeur;reference;p;verdict
09;09.topo.8;creux/sommets de persistance > 8 σ vs chemin mélangé;1181;50.0;0.9787;1.0;;
09;09.topo.16;creux/sommets de persistance > 16 σ vs chemin mélangé;348;50.0;0.99;1.0;;
09;09.spectre.60;pic du spectre de l'activité à la période 60;50;50.0;1.0;1.0;;
09;09.spectre.30;pic du spectre de l'activité à la période 30;50;50.0;3.119;1.0;;
09;09.spectre.20;pic du spectre de l'activité à la période 20;50;50.0;1.0;1.0;;
09;09.spectre.15;pic du spectre de l'activité à la période 15;50;50.0;4.61;1.0;;
09;09.spectre.12;pic du spectre de l'activité à la période 12;50;50.0;0.927;1.0;;
09;09.spectre.10;pic du spectre de l'activité à la période 10;50;50.0;2.89;1.0;;
09;09.spectre.5;pic du spectre de l'activité à la période 5;50;50.0;10.563;1.0;;
09;09.regime;persistance de l'activité médiane d'un segment au suivant;49;50.0;0.302;0.0;;
